,date,county,state,fips,cases,deaths
49015,2020-04-11,Unknown,Illinois,,85,0
49253,2020-04-11,Unknown,Kansas,,0,4
49413,2020-04-11,Unknown,Louisiana,,54,3
49434,2020-04-11,Unknown,Maine,,3,0
49475,2020-04-11,Unknown,Massachusetts,,225,5
49548,2020-04-11,Unknown,Michigan,,474,15
49612,2020-04-11,Unknown,Minnesota,,3,0
49743,2020-04-11,Kansas City,Missouri,,298,8
49786,2020-04-11,Unknown,Missouri,,1,0
49871,2020-04-11,Unknown,Nevada,,0,3
49884,2020-04-11,Unknown,New Hampshire,,1,0
49905,2020-04-11,Unknown,New Jersey,,924,2
49961,2020-04-11,New York City,New York,,100840,8734
50113,2020-04-11,Unknown,Northern Mariana Islands,,11,2
50359,2020-04-11,Unknown,Puerto Rico,,788,42
50364,2020-04-11,Unknown,Rhode Island,,673,36
50734,2020-04-11,Unknown,Utah,,22,7
50750,2020-04-11,Unknown,Vermont,,11,0
50754,2020-04-11,Unknown,Virgin Islands,,51,1
50867,2020-04-11,Unknown,Virginia,,0,58
50911,2020-04-11,Unknown,Washington,,583,0
51136,2020-04-12,Unknown,Arizona,,0,1
51204,2020-04-12,Unknown,Arkansas,,25,0
51316,2020-04-12,Unknown,Colorado,,156,0
51327,2020-04-12,Unknown,Connecticut,,501,4
51396,2020-04-12,Unknown,Florida,,2,0
51543,2020-04-12,Unknown,Georgia,,613,0
51559,2020-04-12,Unknown,Guam,,716,5
51564,2020-04-12,Unknown,Hawaii,,3,0
51674,2020-04-12,Unknown,Illinois,,94,0
51916,2020-04-12,Unknown,Kansas,,0,3
52017,2020-04-12,Unknown,Kentucky,,24,0
52080,2020-04-12,Unknown,Louisiana,,54,3
52101,2020-04-12,Unknown,Maine,,3,0
52142,2020-04-12,Unknown,Massachusetts,,373,5
52215,2020-04-12,Unknown,Michigan,,480,20
52282,2020-04-12,Unknown,Minnesota,,5,0
52413,2020-04-12,Kansas City,Missouri,,308,8
52456,2020-04-12,Unknown,Missouri,,1,0
52554,2020-04-12,Unknown,New Hampshire,,1,0
52575,2020-04-12,Unknown,New Jersey,,1274,2
52631,2020-04-12,New York City,New York,,105939,9448
52783,2020-04-12,Unknown,Northern Mariana Islands,,11,2
53029,2020-04-12,Unknown,Puerto Rico,,897,44
53034,2020-04-12,Unknown,Rhode Island,,989,43
53406,2020-04-12,Unknown,Utah,,6,7
53422,2020-04-12,Unknown,Vermont,,11,0
53426,2020-04-12,Unknown,Virgin Islands,,51,1
53539,2020-04-12,Unknown,Virginia,,0,68
53583,2020-04-12,Unknown,Washington,,499,0
53811,2020-04-13,Unknown,Arizona,,0,1
53880,2020-04-13,Unknown,Arkansas,,42,0
53992,2020-04-13,Unknown,Colorado,,145,0
54003,2020-04-13,Unknown,Connecticut,,491,4
54008,2020-04-13,Unknown,Delaware,,3,0
54073,2020-04-13,Unknown,Florida,,1,0
54220,2020-04-13,Unknown,Georgia,,560,0
54236,2020-04-13,Unknown,Guam,,719,6
54241,2020-04-13,Unknown,Hawaii,,3,0
54352,2020-04-13,Unknown,Illinois,,65,0
54695,2020-04-13,Unknown,Kentucky,,23,0
54758,2020-04-13,Unknown,Louisiana,,56,0
54779,2020-04-13,Unknown,Maine,,5,0
54820,2020-04-13,Unknown,Massachusetts,,447,7
54894,2020-04-13,Unknown,Michigan,,469,12
54961,2020-04-13,Unknown,Minnesota,,34,0
55092,2020-04-13,Kansas City,Missouri,,329,8
55135,2020-04-13,Unknown,Missouri,,1,0
55210,2020-04-13,Unknown,Nebraska,,1,0
55235,2020-04-13,Unknown,New Hampshire,,1,0
55256,2020-04-13,Unknown,New Jersey,,1203,2
55312,2020-04-13,New York City,New York,,109706,10096
55465,2020-04-13,Unknown,Northern Mariana Islands,,11,2
55712,2020-04-13,Unknown,Puerto Rico,,903,45
55717,2020-04-13,Unknown,Rhode Island,,1300,53
56093,2020-04-13,Unknown,Utah,,44,7
56109,2020-04-13,Unknown,Vermont,,8,0
56113,2020-04-13,Unknown,Virgin Islands,,51,1
56227,2020-04-13,Unknown,Virginia,,2,49
56271,2020-04-13,Unknown,Washington,,329,0
56500,2020-04-14,Unknown,Arizona,,0,1
56569,2020-04-14,Unknown,Arkansas,,45,0
56681,2020-04-14,Unknown,Colorado,,110,0
56692,2020-04-14,Unknown,Connecticut,,533,4
56697,2020-04-14,Unknown,Delaware,,11,0
56762,2020-04-14,Unknown,Florida,,3,0
56909,2020-04-14,Unknown,Georgia,,287,0
56925,2020-04-14,Unknown,Guam,,721,6
56930,2020-04-14,Unknown,Hawaii,,3,0
57042,2020-04-14,Unknown,Illinois,,43,0
57286,2020-04-14,Unknown,Kansas,,0,2
57390,2020-04-14,Unknown,Kentucky,,15,0
57453,2020-04-14,Unknown,Louisiana,,56,0
57474,2020-04-14,Unknown,Maine,,2,0
57515,2020-04-14,Unknown,Massachusetts,,506,7
57589,2020-04-14,Unknown,Michigan,,543,13
57656,2020-04-14,Unknown,Minnesota,,6,0
57787,2020-04-14,Kansas City,Missouri,,346,12
57830,2020-04-14,Unknown,Missouri,,1,0
57918,2020-04-14,Unknown,Nevada,,0,9
57931,2020-04-14,Unknown,New Hampshire,,1,0
57952,2020-04-14,Unknown,New Jersey,,1702,2
58008,2020-04-14,New York City,New York,,113632,10857
58162,2020-04-14,Unknown,Northern Mariana Islands,,13,2
58411,2020-04-14,Unknown,Puerto Rico,,923,45
58416,2020-04-14,Unknown,Rhode Island,,756,60
58795,2020-04-14,Unknown,Utah,,0,8
58811,2020-04-14,Unknown,Vermont,,8,0
58815,2020-04-14,Unknown,Virgin Islands,,51,1
58929,2020-04-14,Unknown,Virginia,,0,32
58973,2020-04-14,Unknown,Washington,,220,0
59273,2020-04-15,Unknown,Arkansas,,50,0
59385,2020-04-15,Unknown,Colorado,,111,1
59396,2020-04-15,Unknown,Connecticut,,537,2
59401,2020-04-15,Unknown,Delaware,,17,0
59612,2020-04-15,Unknown,Georgia,,136,0
59628,2020-04-15,Unknown,Guam,,750,6
59633,2020-04-15,Unknown,Hawaii,,1,0
59746,2020-04-15,Unknown,Illinois,,45,0
59991,2020-04-15,Unknown,Kansas,,0,2
60095,2020-04-15,Unknown,Kentucky,,77,1
60158,2020-04-15,Unknown,Louisiana,,56,1
60179,2020-04-15,Unknown,Maine,,2,0
60204,2020-04-15,Unknown,Maryland,,14,99
60221,2020-04-15,Unknown,Massachusetts,,572,7
60296,2020-04-15,Unknown,Michigan,,584,17
60364,2020-04-15,Unknown,Minnesota,,5,0
60497,2020-04-15,Kansas City,Missouri,,371,12
60541,2020-04-15,Unknown,Missouri,,1,0
60631,2020-04-15,Unknown,Nevada,,0,6
60664,2020-04-15,Unknown,New Jersey,,1189,2
60720,2020-04-15,New York City,New York,,121653,11566
60871,2020-04-15,Unknown,North Dakota,,1,0
60875,2020-04-15,Unknown,Northern Mariana Islands,,13,2
61125,2020-04-15,Unknown,Puerto Rico,,974,51
61130,2020-04-15,Unknown,Rhode Island,,756,67
61513,2020-04-15,Unknown,Utah,,0,9
61529,2020-04-15,Unknown,Vermont,,12,0
61533,2020-04-15,Unknown,Virgin Islands,,51,1
61647,2020-04-15,Unknown,Virginia,,0,59
61691,2020-04-15,Unknown,Washington,,77,0
61992,2020-04-16,Unknown,Arkansas,,44,0
62104,2020-04-16,Unknown,Colorado,,96,1
62115,2020-04-16,Unknown,Connecticut,,534,2
62120,2020-04-16,Unknown,Delaware,,22,0
62185,2020-04-16,Unknown,Florida,,3,0
62332,2020-04-16,Unknown,Georgia,,212,0
62348,2020-04-16,Unknown,Guam,,790,6
62353,2020-04-16,Unknown,Hawaii,,5,0
62467,2020-04-16,Unknown,Illinois,,55,0
62815,2020-04-16,Unknown,Kentucky,,76,1
62878,2020-04-16,Unknown,Louisiana,,56,1
62899,2020-04-16,Unknown,Maine,,2,0
62924,2020-04-16,Unknown,Maryland,,13,104
62941,2020-04-16,Unknown,Massachusetts,,638,9
63017,2020-04-16,Unknown,Michigan,,601,16
63086,2020-04-16,Unknown,Minnesota,,5,0
63219,2020-04-16,Kansas City,Missouri,,386,12
63263,2020-04-16,Unknown,Missouri,,2,0
63355,2020-04-16,Unknown,Nevada,,16,4
63368,2020-04-16,Unknown,New Hampshire,,1,0
63389,2020-04-16,Unknown,New Jersey,,1048,3
63445,2020-04-16,New York City,New York,,126623,12109
63596,2020-04-16,Unknown,North Dakota,,1,0
63600,2020-04-16,Unknown,Northern Mariana Islands,,13,2
63850,2020-04-16,Unknown,Puerto Rico,,1043,56
63855,2020-04-16,Unknown,Rhode Island,,840,98
64244,2020-04-16,Unknown,Utah,,3,1
64260,2020-04-16,Unknown,Vermont,,9,0
64264,2020-04-16,Unknown,Virgin Islands,,51,1
64379,2020-04-16,Unknown,Virginia,,0,71
64423,2020-04-16,Unknown,Washington,,154,0
64724,2020-04-17,Unknown,Arkansas,,43,0
64836,2020-04-17,Unknown,Colorado,,78,1
64847,2020-04-17,Unknown,Connecticut,,495,2
64852,2020-04-17,Unknown,Delaware,,28,0
64917,2020-04-17,Unknown,Florida,,4,0
65064,2020-04-17,Unknown,Georgia,,264,0
65080,2020-04-17,Unknown,Guam,,796,6
65199,2020-04-17,Unknown,Illinois,,71,0
65374,2020-04-17,Unknown,Iowa,,1,0
65448,2020-04-17,Unknown,Kansas,,0,1
65553,2020-04-17,Unknown,Kentucky,,25,0
65616,2020-04-17,Unknown,Louisiana,,56,1
65637,2020-04-17,Unknown,Maine,,2,0
65662,2020-04-17,Unknown,Maryland,,11,99
65679,2020-04-17,Unknown,Massachusetts,,760,12
65755,2020-04-17,Unknown,Michigan,,604,19
65825,2020-04-17,Unknown,Minnesota,,1,0
65958,2020-04-17,Kansas City,Missouri,,401,13
66002,2020-04-17,Unknown,Missouri,,4,0
66096,2020-04-17,Unknown,Nevada,,80,0
66109,2020-04-17,Unknown,New Hampshire,,2,0
66130,2020-04-17,Unknown,New Jersey,,719,3
66186,2020-04-17,New York City,New York,,131003,12283
66210,2020-04-17,Unknown,New York,,0,630
66338,2020-04-17,Unknown,North Dakota,,1,0
66342,2020-04-17,Unknown,Northern Mariana Islands,,14,2
66595,2020-04-17,Unknown,Puerto Rico,,1068,58
66600,2020-04-17,Unknown,Rhode Island,,832,98
66991,2020-04-17,Unknown,Utah,,2,1
67007,2020-04-17,Unknown,Vermont,,10,0
67011,2020-04-17,Unknown,Virgin Islands,,51,2
67126,2020-04-17,Unknown,Virginia,,0,94
67170,2020-04-17,Unknown,Washington,,174,0
67471,2020-04-18,Unknown,Arkansas,,46,0
67583,2020-04-18,Unknown,Colorado,,80,1
67594,2020-04-18,Unknown,Connecticut,,525,3
67599,2020-04-18,Unknown,Delaware,,30,0
67664,2020-04-18,Unknown,Florida,,3,0
67811,2020-04-18,Unknown,Georgia,,245,0
67827,2020-04-18,Unknown,Guam,,805,6
67947,2020-04-18,Unknown,Illinois,,83,0
68122,2020-04-18,Unknown,Iowa,,1,0
68196,2020-04-18,Unknown,Kansas,,0,1
68301,2020-04-18,Unknown,Kentucky,,35,0
68364,2020-04-18,Unknown,Louisiana,,57,1
68385,2020-04-18,Unknown,Maine,,1,0
68410,2020-04-18,Unknown,Maryland,,11,107
68427,2020-04-18,Unknown,Massachusetts,,733,13
68504,2020-04-18,Unknown,Michigan,,643,22
68575,2020-04-18,Unknown,Minnesota,,4,0
68708,2020-04-18,Kansas City,Missouri,,412,13
68754,2020-04-18,Unknown,Missouri,,2,0
68850,2020-04-18,Unknown,Nevada,,6,3
68863,2020-04-18,Unknown,New Hampshire,,0,1
68884,2020-04-18,Unknown,New Jersey,,748,2
68941,2020-04-18,New York City,New York,,135052,12411
68965,2020-04-18,Unknown,New York,,0,1170
69096,2020-04-18,Unknown,Northern Mariana Islands,,14,2
69350,2020-04-18,Unknown,Puerto Rico,,1118,60
69355,2020-04-18,Unknown,Rhode Island,,815,117
69750,2020-04-18,Unknown,Utah,,0,1
69766,2020-04-18,Unknown,Vermont,,10,0
69770,2020-04-18,Unknown,Virgin Islands,,53,3
69885,2020-04-18,Unknown,Virginia,,1,114
69929,2020-04-18,Unknown,Washington,,233,0
70230,2020-04-19,Unknown,Arkansas,,46,0
70342,2020-04-19,Unknown,Colorado,,114,1
70353,2020-04-19,Unknown,Connecticut,,529,4
70358,2020-04-19,Unknown,Delaware,,30,0
70423,2020-04-19,Unknown,Florida,,3,0
70570,2020-04-19,Unknown,Georgia,,257,0
70586,2020-04-19,Unknown,Guam,,808,6
70706,2020-04-19,Unknown,Illinois,,114,0
71061,2020-04-19,Unknown,Kentucky,,38,0
71124,2020-04-19,Unknown,Louisiana,,58,1
71146,2020-04-19,Unknown,Maine,,2,0
71171,2020-04-19,Unknown,Maryland,,10,79
71188,2020-04-19,Unknown,Massachusetts,,815,13
71265,2020-04-19,Unknown,Michigan,,636,21
71338,2020-04-19,Unknown,Minnesota,,4,0
71472,2020-04-19,Kansas City,Missouri,,418,13
71518,2020-04-19,Unknown,Missouri,,1,0
71601,2020-04-19,Unknown,Nebraska,,7,0
71627,2020-04-19,Unknown,New Hampshire,,2,1
71648,2020-04-19,Unknown,New Jersey,,585,0
71705,2020-04-19,New York City,New York,,138370,13632
71860,2020-04-19,Unknown,Northern Mariana Islands,,14,2
72114,2020-04-19,Unknown,Puerto Rico,,1213,41
72119,2020-04-19,Unknown,Rhode Island,,715,130
72517,2020-04-19,Unknown,Utah,,0,1
72533,2020-04-19,Unknown,Vermont,,10,0
72537,2020-04-19,Unknown,Virgin Islands,,53,3
72652,2020-04-19,Unknown,Virginia,,2,89
72696,2020-04-19,Unknown,Washington,,1,0
72997,2020-04-20,Unknown,Arkansas,,43,0
73109,2020-04-20,Unknown,Colorado,,126,1
73120,2020-04-20,Unknown,Connecticut,,514,4
73125,2020-04-20,Unknown,Delaware,,31,0
73190,2020-04-20,Unknown,Florida,,3,0
73337,2020-04-20,Unknown,Georgia,,296,2
73353,2020-04-20,Unknown,Guam,,811,6
73474,2020-04-20,Unknown,Illinois,,129,0
73831,2020-04-20,Unknown,Kentucky,,35,0
73894,2020-04-20,Unknown,Louisiana,,59,1
73916,2020-04-20,Unknown,Maine,,1,0
73941,2020-04-20,Unknown,Maryland,,10,87
73958,2020-04-20,Unknown,Massachusetts,,855,9
74035,2020-04-20,Unknown,Michigan,,644,23
74109,2020-04-20,Unknown,Minnesota,,4,0
74243,2020-04-20,Kansas City,Missouri,,420,13
74289,2020-04-20,Unknown,Missouri,,1,0
74373,2020-04-20,Unknown,Nebraska,,10,0
74387,2020-04-20,Unknown,Nevada,,34,4
74400,2020-04-20,Unknown,New Hampshire,,4,1
74421,2020-04-20,Unknown,New Jersey,,660,1
74478,2020-04-20,New York City,New York,,140881,14074
74633,2020-04-20,Unknown,Northern Mariana Islands,,14,2
74887,2020-04-20,Unknown,Puerto Rico,,1252,42
74892,2020-04-20,Unknown,Rhode Island,,861,135
75291,2020-04-20,Unknown,Utah,,0,1
75307,2020-04-20,Unknown,Vermont,,11,0
75311,2020-04-20,Unknown,Virgin Islands,,54,3
75426,2020-04-20,Unknown,Virginia,,2,90
75770,2020-04-21,Unknown,Arkansas,,95,0
75882,2020-04-21,Unknown,Colorado,,105,1
75893,2020-04-21,Unknown,Connecticut,,503,4
75898,2020-04-21,Unknown,Delaware,,30,0
75963,2020-04-21,Unknown,Florida,,4,0
76110,2020-04-21,Unknown,Georgia,,483,0
76126,2020-04-21,Unknown,Guam,,852,6
76248,2020-04-21,Unknown,Illinois,,191,0
76426,2020-04-21,Unknown,Iowa,,3,2
76671,2020-04-21,Unknown,Louisiana,,59,2
76693,2020-04-21,Unknown,Maine,,1,0
76718,2020-04-21,Unknown,Maryland,,12,113
76735,2020-04-21,Unknown,Massachusetts,,929,8
76812,2020-04-21,Unknown,Michigan,,698,22
76887,2020-04-21,Unknown,Minnesota,,4,0
77021,2020-04-21,Kansas City,Missouri,,438,13
77150,2020-04-21,Unknown,Nebraska,,6,0
77165,2020-04-21,Unknown,Nevada,,10,0
77178,2020-04-21,Unknown,New Hampshire,,15,1
77199,2020-04-21,Unknown,New Jersey,,599,0
77256,2020-04-21,New York City,New York,,143547,14513
77411,2020-04-21,Unknown,Northern Mariana Islands,,14,2
77666,2020-04-21,Unknown,Puerto Rico,,915,43
77671,2020-04-21,Unknown,Rhode Island,,1000,151
78070,2020-04-21,Unknown,Utah,,0,2
78086,2020-04-21,Unknown,Vermont,,3,0
78090,2020-04-21,Unknown,Virgin Islands,,54,3
78550,2020-04-22,Unknown,Arkansas,,113,0
78662,2020-04-22,Unknown,Colorado,,95,0
78673,2020-04-22,Unknown,Connecticut,,503,7
78678,2020-04-22,Unknown,Delaware,,28,0
78743,2020-04-22,Unknown,Florida,,0,34
78890,2020-04-22,Unknown,Georgia,,576,0
78906,2020-04-22,Unknown,Guam,,911,6
79028,2020-04-22,Unknown,Illinois,,191,0
79206,2020-04-22,Unknown,Iowa,,3,7
79390,2020-04-22,Unknown,Kentucky,,70,0
79453,2020-04-22,Unknown,Louisiana,,60,1
79475,2020-04-22,Unknown,Maine,,2,0
79500,2020-04-22,Unknown,Maryland,,8,102
79517,2020-04-22,Unknown,Massachusetts,,854,9
79594,2020-04-22,Unknown,Michigan,,715,25
79669,2020-04-22,Unknown,Minnesota,,4,0
79804,2020-04-22,Kansas City,Missouri,,448,13
79851,2020-04-22,Unknown,Missouri,,1,1
79936,2020-04-22,Unknown,Nebraska,,6,0
79951,2020-04-22,Unknown,Nevada,,10,11
79964,2020-04-22,Unknown,New Hampshire,,15,1
79985,2020-04-22,Unknown,New Jersey,,591,2
80013,2020-04-22,Unknown,New Mexico,,1,0
80043,2020-04-22,New York City,New York,,146787,14959
80199,2020-04-22,Unknown,Northern Mariana Islands,,14,2
80454,2020-04-22,Unknown,Puerto Rico,,915,46
80459,2020-04-22,Unknown,Rhode Island,,1000,161
80860,2020-04-22,Unknown,Utah,,0,2
80876,2020-04-22,Unknown,Vermont,,3,0
80880,2020-04-22,Unknown,Virgin Islands,,54,3
81342,2020-04-23,Unknown,Arkansas,,127,0
81398,2020-04-23,Unknown,California,,3,0
81455,2020-04-23,Unknown,Colorado,,108,0
81466,2020-04-23,Unknown,Connecticut,,522,6
81471,2020-04-23,Unknown,Delaware,,3,0
81536,2020-04-23,Unknown,Florida,,8,0
81683,2020-04-23,Unknown,Georgia,,361,0
81699,2020-04-23,Unknown,Guam,,979,6
81821,2020-04-23,Unknown,Illinois,,191,0
81999,2020-04-23,Unknown,Iowa,,3,7
82250,2020-04-23,Unknown,Louisiana,,62,0
82296,2020-04-23,Unknown,Maryland,,5,102
82313,2020-04-23,Unknown,Massachusetts,,737,10
82390,2020-04-23,Unknown,Michigan,,829,28
82465,2020-04-23,Unknown,Minnesota,,4,0
82600,2020-04-23,Kansas City,Missouri,,461,14
82647,2020-04-23,Unknown,Missouri,,1,0
82734,2020-04-23,Unknown,Nebraska,,6,1
82749,2020-04-23,Unknown,Nevada,,1,5
82762,2020-04-23,Unknown,New Hampshire,,11,1
82783,2020-04-23,Unknown,New Jersey,,1108,2
82841,2020-04-23,New York City,New York,,150327,15361
82997,2020-04-23,Unknown,Northern Mariana Islands,,14,2
83252,2020-04-23,Unknown,Puerto Rico,,1230,69
83257,2020-04-23,Unknown,Rhode Island,,1000,169
83660,2020-04-23,Unknown,Utah,,0,1
83676,2020-04-23,Unknown,Vermont,,3,0
83680,2020-04-23,Unknown,Virgin Islands,,54,3
84142,2020-04-24,Unknown,Arkansas,,182,0
84254,2020-04-24,Unknown,Colorado,,103,0
84265,2020-04-24,Unknown,Connecticut,,507,2
84270,2020-04-24,Unknown,Delaware,,4,0
84481,2020-04-24,Unknown,Georgia,,447,0
84497,2020-04-24,Unknown,Guam,,997,6
84619,2020-04-24,Unknown,Illinois,,218,0
84797,2020-04-24,Unknown,Iowa,,0,1
84988,2020-04-24,Unknown,Kentucky,,19,0
85051,2020-04-24,Unknown,Louisiana,,63,0
85097,2020-04-24,Unknown,Maryland,,9,101
85114,2020-04-24,Unknown,Massachusetts,,791,12
85191,2020-04-24,Unknown,Michigan,,1050,29
85266,2020-04-24,Unknown,Minnesota,,6,0
85401,2020-04-24,Kansas City,Missouri,,472,15
85448,2020-04-24,Unknown,Missouri,,2,0
85550,2020-04-24,Unknown,Nevada,,43,5
85563,2020-04-24,Unknown,New Hampshire,,3,1
85584,2020-04-24,Unknown,New Jersey,,532,0
85642,2020-04-24,New York City,New York,,155081,15754
85798,2020-04-24,Unknown,Northern Mariana Islands,,14,2
86053,2020-04-24,Unknown,Puerto Rico,,1276,77
86058,2020-04-24,Unknown,Rhode Island,,1132,182
86464,2020-04-24,Unknown,Utah,,1,1
86480,2020-04-24,Unknown,Vermont,,3,0
86484,2020-04-24,Unknown,Virgin Islands,,54,3
86947,2020-04-25,Unknown,Arkansas,,202,0
87059,2020-04-25,Unknown,Colorado,,131,2
87070,2020-04-25,Unknown,Connecticut,,521,2
87075,2020-04-25,Unknown,Delaware,,3,0
87140,2020-04-25,Unknown,Florida,,1,0
87287,2020-04-25,Unknown,Georgia,,608,1
87303,2020-04-25,Unknown,Guam,,997,6
87426,2020-04-25,Unknown,Illinois,,274,0
87794,2020-04-25,Unknown,Kentucky,,35,5
87857,2020-04-25,Unknown,Louisiana,,63,0
87879,2020-04-25,Unknown,Maine,,2,0
87904,2020-04-25,Unknown,Maryland,,9,113
87921,2020-04-25,Unknown,Massachusetts,,753,13
87998,2020-04-25,Unknown,Michigan,,1102,33
88073,2020-04-25,Unknown,Minnesota,,5,0
88208,2020-04-25,Kansas City,Missouri,,486,15
88255,2020-04-25,Unknown,Missouri,,2,0
88358,2020-04-25,Unknown,Nevada,,16,0
88371,2020-04-25,Unknown,New Hampshire,,6,1
88392,2020-04-25,Unknown,New Jersey,,557,0
88451,2020-04-25,New York City,New York,,159851,16146
88609,2020-04-25,Unknown,Northern Mariana Islands,,14,2
88864,2020-04-25,Unknown,Puerto Rico,,1307,83
88869,2020-04-25,Unknown,Rhode Island,,1198,96
89276,2020-04-25,Unknown,Utah,,0,1
89292,2020-04-25,Unknown,Vermont,,5,0
89296,2020-04-25,Unknown,Virgin Islands,,55,3
89761,2020-04-26,Unknown,Arkansas,,216,0
89873,2020-04-26,Unknown,Colorado,,172,0
89884,2020-04-26,Unknown,Connecticut,,522,0
89889,2020-04-26,Unknown,Delaware,,9,0
90100,2020-04-26,Unknown,Georgia,,622,0
90116,2020-04-26,Unknown,Guam,,997,6
90239,2020-04-26,Unknown,Illinois,,308,0
90607,2020-04-26,Unknown,Kentucky,,13,0
90670,2020-04-26,Unknown,Louisiana,,64,0
90692,2020-04-26,Unknown,Maine,,2,0
90717,2020-04-26,Unknown,Maryland,,13,134
90734,2020-04-26,Unknown,Massachusetts,,807,14
90811,2020-04-26,Unknown,Michigan,,1115,34
90886,2020-04-26,Unknown,Minnesota,,7,0
91021,2020-04-26,Kansas City,Missouri,,493,15
91183,2020-04-26,Unknown,New Hampshire,,5,1
91204,2020-04-26,Unknown,New Jersey,,681,0
91263,2020-04-26,New York City,New York,,163106,16486
91422,2020-04-26,Unknown,Northern Mariana Islands,,14,2
91677,2020-04-26,Unknown,Puerto Rico,,1371,84
91682,2020-04-26,Unknown,Rhode Island,,1109,111
92090,2020-04-26,Unknown,Utah,,0,1
92106,2020-04-26,Unknown,Vermont,,5,0
92110,2020-04-26,Unknown,Virgin Islands,,57,4
92576,2020-04-27,Unknown,Arkansas,,203,0
92632,2020-04-27,Unknown,California,,3,0
92689,2020-04-27,Unknown,Colorado,,101,2
92700,2020-04-27,Unknown,Connecticut,,484,7
92705,2020-04-27,Unknown,Delaware,,11,0
92770,2020-04-27,Unknown,Florida,,1,0
92917,2020-04-27,Unknown,Georgia,,600,2
92933,2020-04-27,Unknown,Guam,,1113,6
93056,2020-04-27,Unknown,Illinois,,338,0
93235,2020-04-27,Unknown,Iowa,,7,8
93426,2020-04-27,Unknown,Kentucky,,11,0
93489,2020-04-27,Unknown,Louisiana,,64,0
93511,2020-04-27,Unknown,Maine,,2,0
93536,2020-04-27,Unknown,Maryland,,16,87
93553,2020-04-27,Unknown,Massachusetts,,795,8
93630,2020-04-27,Unknown,Michigan,,1134,39
93705,2020-04-27,Unknown,Minnesota,,5,0
93840,2020-04-27,Kansas City,Missouri,,500,15
93992,2020-04-27,Unknown,Nevada,,0,12
94005,2020-04-27,Unknown,New Hampshire,,11,1
94026,2020-04-27,Unknown,New Jersey,,818,0
94056,2020-04-27,Unknown,New Mexico,,0,5
94086,2020-04-27,New York City,New York,,165463,16821
94246,2020-04-27,Unknown,Northern Mariana Islands,,14,2
94502,2020-04-27,Unknown,Puerto Rico,,1388,84
94507,2020-04-27,Unknown,Rhode Island,,1378,118
94917,2020-04-27,Unknown,Utah,,0,2
94933,2020-04-27,Unknown,Vermont,,3,0
94937,2020-04-27,Unknown,Virgin Islands,,59,4
95405,2020-04-28,Unknown,Arkansas,,220,0
95518,2020-04-28,Unknown,Colorado,,88,1
95529,2020-04-28,Unknown,Connecticut,,491,2
95534,2020-04-28,Unknown,Delaware,,32,0
95599,2020-04-28,Unknown,Florida,,4,0
95746,2020-04-28,Unknown,Georgia,,268,0
95762,2020-04-28,Unknown,Guam,,1114,6
95885,2020-04-28,Unknown,Illinois,,335,0
96064,2020-04-28,Unknown,Iowa,,13,0
96258,2020-04-28,Unknown,Kentucky,,28,0
96321,2020-04-28,Unknown,Louisiana,,61,0
96343,2020-04-28,Unknown,Maine,,1,0
96368,2020-04-28,Unknown,Maryland,,13,106
96385,2020-04-28,Unknown,Massachusetts,,625,5
96462,2020-04-28,Unknown,Michigan,,1167,41
96537,2020-04-28,Unknown,Minnesota,,6,0
96673,2020-04-28,Kansas City,Missouri,,511,16
96825,2020-04-28,Unknown,Nevada,,0,5
96838,2020-04-28,Unknown,New Hampshire,,7,1
96859,2020-04-28,Unknown,New Jersey,,718,0
96889,2020-04-28,Unknown,New Mexico,,0,5
96919,2020-04-28,New York City,New York,,167487,17206
97080,2020-04-28,Unknown,Northern Mariana Islands,,14,2
97338,2020-04-28,Unknown,Puerto Rico,,1400,86
97343,2020-04-28,Unknown,Rhode Island,,1267,124
97756,2020-04-28,Unknown,Utah,,0,2
97772,2020-04-28,Unknown,Vermont,,3,0
97776,2020-04-28,Unknown,Virgin Islands,,59,4
97895,2020-04-28,Unknown,Virginia,,2,0
98246,2020-04-29,Unknown,Arkansas,,167,0
98359,2020-04-29,Unknown,Colorado,,67,1
98370,2020-04-29,Unknown,Connecticut,,507,1
98375,2020-04-29,Unknown,Delaware,,26,0
98440,2020-04-29,Unknown,Florida,,7,0
98602,2020-04-29,Unknown,Guam,,1114,6
98725,2020-04-29,Unknown,Illinois,,354,0
98905,2020-04-29,Unknown,Iowa,,20,0
99100,2020-04-29,Unknown,Kentucky,,31,0
99163,2020-04-29,Unknown,Louisiana,,61,0
99185,2020-04-29,Unknown,Maine,,2,0
99210,2020-04-29,Unknown,Maryland,,13,79
99227,2020-04-29,Unknown,Massachusetts,,457,5
99304,2020-04-29,Unknown,Michigan,,1350,42
99379,2020-04-29,Unknown,Minnesota,,7,0
99515,2020-04-29,Kansas City,Missouri,,520,16
99668,2020-04-29,Unknown,Nevada,,0,6
99681,2020-04-29,Unknown,New Hampshire,,4,1
99702,2020-04-29,Unknown,New Jersey,,617,0
99762,2020-04-29,New York City,New York,,170124,17597
99925,2020-04-29,Unknown,Northern Mariana Islands,,14,2
100183,2020-04-29,Unknown,Puerto Rico,,1465,86
100188,2020-04-29,Unknown,Rhode Island,,1065,104
100602,2020-04-29,Unknown,Utah,,0,2
100618,2020-04-29,Unknown,Vermont,,3,0
100622,2020-04-29,Unknown,Virgin Islands,,66,4
100741,2020-04-29,Unknown,Virginia,,2,0
